m,انگريزي حروف تهجي کا تيرھواں حرف
ma,ماں ـ امي ـ اماں ـ امي جان ـ ممي
maam,بيگم ـ خاتون ـ نواب بيگم ـ حضور
mab,پريوں کي ملکه ـ خواب لانے والي
macabre,هيبت ناک ـ ڈراؤنا
macaco,ايک قسم کا بندر
macadam,کٹي هوئي کنکر کي سڑک
macadamize,کنکراهت ڈالنا
macaroni,آٹے کي سوياں
macaronic,نظم جس ميں کئي زبانيں استعمال کي گئي هوں ـ کھچڑي ـ معجون مرکب
macaroon,ميٹھي بادامي روٹي
macartney,تيتر کي ايک قسم کا پرنده
macassar,سر ميں ڈالنے کا خوشبودار تيل
macaw,مکاؤ کا طوطا
maccaboy,ايک قسم کي ناس جو عطر گلاب ميں بسائي جاتي هے
mace,عصا ـ لاٹھي ـ جاوتري
macerate,بھگو کر نرم کرنا ـ گھلانا ـ دبلا کرنا
macerater,گھلانے والا
macerating,بھگونا
maceration,نفس کشي ـ گداخت
macerator,فاقے کرکے دبلا کرنے والا
macherelsky,هلکے سفيد بادلوں سے ڈھکا هوا آسمان
machiavelli,در رخا مدير ـ عيار
machiavellian,در رخي ـ عيارانه ـ شاطرانه
machicolate,شهر کي فصيل ميں سوراخ بنانا تاکه حمله آوروں پر پتھر پھينکے جا سکيں ـ روزن بنانا
machinate,تدبير کرنا ـ سازش کرنا ـ ريشه دواني کرنا
machination,فتنه پردازي
machinator,عيار ـ چال باز
machine,آله جرثقيل ـ سياسي نظام مشين
machinelike,مشين کي طرح
machinery,الات جرثقيل
machinist,مشين بنانے يا چلانے والا
machlet,بڑا چاقو ـ چھرا
mackerel,ايک سمندري مچھلي جس کا گوشت لذيذ هوتا هے
mackintosh,برساتي
maconochie,ڈبوں کا دم پخت گوشت
macrame,بٹے هوئے دھاگے کي جھالر
macron,بڑا مد ـ خط
macula,داغ ـ دھبه
maculate,دھبے هونا
maculation,داغ هونا ـ دھبے هونا
mad,پاگل ـ ديوانه ـ جنوبي ـ سوداني ـ باولا ـ برهم
madagascar,مڈغاسکر ايک ملک کا نام
madam,بي بي ـ بيگم ـ خاتون ـ خانم
madame,ميڈيم کي فراسيسي شکل
madden,پاگل هونا يا کرنا ـ ديوانه بنانا ـ طيش دلانا
maddeningly,ديوانگي کے ساتھ
made,بنايا هوا ـ بنا هوا
madeira,جزيرا مديرا کي سفيد انگوري شراب
mademoiselle,کنواري دوشيزه
madhouse,پاگل خانه
madness,شوريده سري ـ ديوانگي ـ خبط
madonna,حضرت مريم کي تصوير يا مجسمه ـ بي بي صاحبه
madrepore,مونگے کے درخت ـ مرجان کے جراثيم
madrigal,غزل ـ عاشقانه گيت
madwoman,پاگل عورت
maecenas,ادب يا آرٹ کا سرپرست ـ اهل هنر کا قدردان
maelstrom,گرداب ـ بھنور
maffick,خوشيا منانا ـ رنگ رلياں رچانا
magazine,رساله ـ اخبار ـ گودام
maggot,کيڑا ـ کيڑے کا پهلا روپ
magi,آتش پرست ـ جادوگر
magian,مجوسي آتش پرست ـ مغ
magic,جادو ـ سحر
magician,جادوگر ـ ساحر
magisterial,حاکمانه ـ عدالتي
magistracy,نظامت فوجداري ـ ناظم فوجداري کا عهده
magistral,آقا کا ـ مالک کا
magistrate,حاکم عدالت
magistrateship,مجسٹريٹ کا عهده
magna,انساني حقوق اور آزادي کا منشور
magnanimity,فراخ دلي
magnanimous,عالي حوصله ـ بلند حکمت
magnate,مشهور آدمي ـ بڑا آدمي
magnesia,ايک قسم کي سفيد مٹي
magnesium,ايک معدني عنصر
magnet,مقناطيس ـ جاذب شے
magnetic,مقناطيس ـ جاذب
magnetics,علم مقناطيس
magnetism,قوت کشش
magnetite,مقناطيسي لوها
magnetizable,مقناطيسي قوت پيدا کرنے کے قابل
magnetization,مقناطيسي خاصيت پيدا کرنا
magnetize,مقناطيسي خاصيت پيدا کرنا
magnetizer,مقناطيسي خاصيت پيدا کرنے والا
magnification,بڑھا چڑھا کر دکھانا ـ مبالغه
magnificence,کروفر ـ شان و شوکت ـ رونق
magnifier,بڑا کرکے دکھانے والا شيشه
